legacy_id,old_url,new_url,old_key,generated_url
6922,http://infoscience-legacy.epfl.ch/curator/export/6922/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/63/?ln=en,{'search_pattern': 'grandjean n 2006'},https://infoscience.epfl.ch/search?p=grandjean+n+2006&so=d&rg=100
6923,http://infoscience-legacy.epfl.ch/curator/export/6923/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/64/?ln=en,{'search_pattern': 'grandjean n 2005'},https://infoscience.epfl.ch/search?p=grandjean+n+2005&so=d&rg=100
6925,http://infoscience-legacy.epfl.ch/curator/export/6925/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/65/?ln=en,"{'search_pattern': 'sifakis AND (""Rigorous Component-Based System Design Using the BIP Framework""  OR ""The Algebra of Connectors — Structuring Interaction in BIP"")'}",https://infoscience.epfl.ch/search?p=sifakis+AND+%28+%22Rigorous+%22Component-Based%22+System+Design+Using+the+BIP+Framework%22++OR+%22The+Algebra+of+Connectors+%E2%80%94+Structuring+Interaction+in+BIP%22+%29&so=d&rg=100
6938,http://infoscience-legacy.epfl.ch/curator/export/6938/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/66/?ln=en,{'search_pattern': 'Rigorous Component-Based System Design AND Sifakis'},https://infoscience.epfl.ch/search?p=Rigorous+%22Component-Based%22+System+Design+AND+Sifakis&so=d&rg=100
6951,http://infoscience-legacy.epfl.ch/curator/export/6951/,https://idevelopsrv25.epfl.ch:443/publication-exports/67/?ln=en,{'search_pattern': 'author:sanita -edmonds -Karrenbauer -Roma -sperduto'},https://infoscience.epfl.ch/search?p=author%3Asanita+%22-edmonds%22+%22-Karrenbauer%22+%22-Roma%22+%22-sperduto%22&so=d&rg=100
6956,http://infoscience-legacy.epfl.ch/curator/export/6956/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/68/?ln=en,{'search_pattern': 'title:Color Image Dehazing using the Near-Infrared and unit:IVRG'},https://infoscience.epfl.ch/search?p=title%3AColor+Image+Dehazing+using+the+%22Near-Infrared%22+AND+unit%3AIVRG+year%3A2009-%3E2009&so=d&rg=1
7236,http://infoscience-legacy.epfl.ch/curator/export/7236/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/69/?ln=en,{'search_pattern': '105911'},https://infoscience.epfl.ch/search?p=105911&so=d&rg=200
8142,https://infoscience-legacy.epfl.ch/curator/export/8142/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/70/?ln=en,{'search_pattern': 'BRAINDB'},https://infoscience.epfl.ch/search?p=BRAINDB&so=d&rg=100
6991,https://infoscience-legacy.epfl.ch/curator/export/6991/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/71/?ln=en,{'search_pattern': 'Mesot J'},https://infoscience.epfl.ch/search?p=Mesot+J&so=d&rg=400
12102,https://infoscience-legacy.epfl.ch/curator/export/12102/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/72/?ln=en,{'search_pattern': 'author:cooper collection:THESIS affiliation:EPFL'},https://infoscience.epfl.ch/search?p=author%3Acooper+collection%3ATHESIS+affiliation%3AEPFL&so=d&rg=100
7044,http://infoscience-legacy.epfl.ch/curator/export/7044/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/73/?ln=en,{'search_pattern': 'Author: Alfonso Cevallos'},https://infoscience.epfl.ch/search?p=Author%3A+Alfonso+Cevallos&so=d&rg=100
7100,http://infoscience-legacy.epfl.ch/curator/export/7100/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/74/?ln=en,{'search_pattern': 'sensorscope'},https://infoscience.epfl.ch/search?p=sensorscope&so=d&rg=100
7132,http://infoscience-legacy.epfl.ch/curator/export/7132/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/75/?ln=en,{'search_pattern': 'Hachet AND 2012 NOT Guichard'},https://infoscience.epfl.ch/search?p=Hachet+AND+2012+NOT+Guichard&so=d&rg=100
7139,http://infoscience-legacy.epfl.ch/curator/export/7139/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/76/?ln=en,{'search_pattern': 'recid:181682'},https://infoscience.epfl.ch/search?p=recid%3A181682&so=d&rg=100
7136,http://infoscience-legacy.epfl.ch/curator/export/7136/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/77/?ln=en,{'search_pattern': 'recid:181681'},https://infoscience.epfl.ch/search?p=recid%3A181681&so=d&rg=100
7247,http://infoscience-legacy.epfl.ch/curator/export/7247/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/78/?ln=en,{'search_pattern': '(gönczy OR goenczy) AND (cartwheel OR centriole)'},https://infoscience.epfl.ch/search?p=%28+g%C3%B6nczy+OR+goenczy+%29+AND+%28+cartwheel+OR+centriole+%29&so=d&rg=100
7246,http://infoscience-legacy.epfl.ch/curator/export/7246/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/79/?ln=en,{'search_pattern': '(gönczy OR goenczy) AND (spindle positioning OR ASSET)'},https://infoscience.epfl.ch/search?p=%28+g%C3%B6nczy+OR+goenczy+%29+AND+%28+spindle+positioning+OR+ASSET+%29&so=d&rg=100
7261,http://infoscience-legacy.epfl.ch/curator/export/7261/,https://idevelopsrv25.epfl.ch:443/publication-exports/80/?ln=en,{'search_pattern': 'unit:aspg'},https://infoscience.epfl.ch/search?p=unit%3Aaspg&so=d&rg=100
7273,http://infoscience-legacy.epfl.ch/curator/export/7273/?ln=fr&rg=1000,https://idevelopsrv25.epfl.ch:443/publication-exports/81/?ln=en,{'search_pattern': 'boyarkine or boyarkin'},https://infoscience.epfl.ch/search?p=boyarkine+OR+boyarkin&so=d
7274,http://infoscience-legacy.epfl.ch/curator/export/7274/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/82/?ln=en,{'search_pattern': 'boyarkine or boyarkin or boiarkine'},https://infoscience.epfl.ch/search?p=boyarkine+OR+boyarkin+OR+boiarkine&so=d&rg=5
9799,http://infoscience-legacy.epfl.ch/curator/export/9799/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/83/?ln=en,{'search_pattern': '(unit:dhlab) OR (author:frédéric kaplan)'},https://infoscience.epfl.ch/search?p=%28+unit%3Adhlab+%29+OR+%28+author%3Afr%C3%A9d%C3%A9ric+kaplan+%29&so=d&rg=100
10994,http://infoscience-legacy.epfl.ch/curator/export/10994/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/84/?ln=en,{'search_pattern': 'mitra fatemi'},https://infoscience.epfl.ch/search?p=mitra+fatemi&so=d&rg=100
7821,http://infoscience-legacy.epfl.ch/curator/export/7821/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/85/?ln=en,{'search_pattern': 'flaviu roman table'},https://infoscience.epfl.ch/search?p=flaviu+roman+table&so=d&rg=100
7822,http://infoscience-legacy.epfl.ch/curator/export/7822/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/86/?ln=en,{'search_pattern': 'flaviu roman reflectworld'},https://infoscience.epfl.ch/search?p=flaviu+roman+reflectworld&so=d&rg=100
6339,http://infoscience-legacy.epfl.ch/curator/export/6339/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/240/?ln=fr,"{'search_pattern': ""author:'tanteri, c'""}",https://infoscience.epfl.ch/search?p=author%3A%27tanteri%2C+c%27&so=d&rg=100
7875,http://infoscience-legacy.epfl.ch/curator/export/7875/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/87/?ln=en,{'search_pattern': 'andrea mazzei'},https://infoscience.epfl.ch/search?p=andrea+mazzei&so=d&rg=100
7875,http://infoscience-legacy.epfl.ch/curator/export/7875/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/87/?ln=fr,{'search_pattern': 'andrea mazzei'},https://infoscience.epfl.ch/search?p=andrea+mazzei&so=d&rg=100
7891,http://infoscience-legacy.epfl.ch/curator/export/7891/?ln=fr&rg=1000,https://idevelopsrv25.epfl.ch:443/publication-exports/88/?ln=en,{'search_pattern': 'van den bergh hubert'},https://infoscience.epfl.ch/search?p=van+den+bergh+hubert&so=d
8004,http://infoscience-legacy.epfl.ch/curator/export/8004/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/89/?ln=en,{'search_pattern': 'Kyrillidis Anastasios'},https://infoscience.epfl.ch/search?p=Kyrillidis+Anastasios&so=d&rg=100
8005,http://infoscience-legacy.epfl.ch/curator/export/8005/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/90/?ln=en,{'search_pattern': 'Asaei Afsaneh'},https://infoscience.epfl.ch/search?p=Asaei+Afsaneh&so=d&rg=100
8007,http://infoscience-legacy.epfl.ch/curator/export/8007/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/91/?ln=en,{'search_pattern': 'Gözcü Baran'},https://infoscience.epfl.ch/search?p=G%C3%B6zc%C3%BC+Baran&so=d&rg=100
8051,http://infoscience-legacy.epfl.ch/curator/export/8051/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/92/?ln=en,{'search_pattern': 'karakasiliotis'},https://infoscience.epfl.ch/search?p=karakasiliotis&so=d&rg=100
7963,http://infoscience-legacy.epfl.ch/curator/export/7963/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/93/?ln=en,{'search_pattern': 'amanda prorok models and algorithms'},https://infoscience.epfl.ch/search?p=amanda+prorok+models+AND+algorithms&so=d&rg=100
8509,http://infoscience-legacy.epfl.ch/curator/export/8509/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/94/?ln=en,{'search_pattern': 'unit:upgraeff'},https://infoscience.epfl.ch/search?p=unit%3Aupgraeff&so=d&rg=100
8288,http://infoscience-legacy.epfl.ch/curator/export/8288/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/95/?ln=en,{'search_pattern': 'Nikolaos Arvanitopoulos'},https://infoscience.epfl.ch/search?p=Nikolaos+Arvanitopoulos&so=d&rg=100
8006,http://infoscience-legacy.epfl.ch/curator/export/8006/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/96/?ln=en,{'search_pattern': 'Becker Stephen'},https://infoscience.epfl.ch/search?p=Becker+Stephen&so=d&rg=100
8464,http://infoscience-legacy.epfl.ch/curator/export/8464/?ln=fr&rg=1000,https://idevelopsrv25.epfl.ch:443/publication-exports/97/?ln=en,{'search_pattern': 'topomapp'},https://infoscience.epfl.ch/search?p=topomapp&so=d
8465,http://infoscience-legacy.epfl.ch/curator/export/8465/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/98/?ln=en,{'search_pattern': 'topotraj'},https://infoscience.epfl.ch/search?p=topotraj&so=d&rg=100
8469,http://infoscience-legacy.epfl.ch/curator/export/8469/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/99/?ln=en,{'search_pattern': 'micera AND year:2013'},https://infoscience.epfl.ch/search?p=micera+AND+year%3A2013&so=d&rg=100
8549,http://infoscience-legacy.epfl.ch/curator/export/8549/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/100/?ln=en,{'search_pattern': 'recid:189991'},https://infoscience.epfl.ch/search?p=recid%3A189991&so=d&rg=1
11670,https://infoscience-legacy.epfl.ch/curator/export/11670/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/101/?ln=en,{'search_pattern': 'ranger + navarro'},https://infoscience.epfl.ch/search?p=ranger+%2B+navarro&so=d&rg=100
8685,http://infoscience-legacy.epfl.ch/curator/export/8685/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/102/?ln=en,{'search_pattern': 'winter haptic'},https://infoscience.epfl.ch/search?p=winter+haptic+year%3A2011-%3Enow&so=d&rg=100
8686,http://infoscience-legacy.epfl.ch/curator/export/8686/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/103/?ln=en,{'search_pattern': 'antoun'},https://infoscience.epfl.ch/search?p=antoun&so=d&rg=100
9749,http://infoscience-legacy.epfl.ch/curator/export/9749/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/104/?ln=en,{'search_pattern': 'rossini and perriard'},https://infoscience.epfl.ch/search?p=rossini+AND+perriard&so=d&rg=100
10862,http://infoscience-legacy.epfl.ch/curator/export/10862/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/105/?ln=en,{'search_pattern': 'unit:OPT year:2014'},https://infoscience.epfl.ch/search?p=unit%3AOPT+year%3A2014&so=d&rg=100
6135,http://infoscience-legacy.epfl.ch/curator/export/6135/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/106/?ln=en,{'search_pattern': 'thirumalai + 171237'},https://infoscience.epfl.ch/search?p=thirumalai+%2B+171237&so=d&rg=100
7012,http://infoscience-legacy.epfl.ch/curator/export/7012/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/241/?ln=fr,{'search_pattern': 'julien eberle'},https://infoscience.epfl.ch/search?p=julien+eberle&so=d&rg=100
9328,http://infoscience-legacy.epfl.ch/curator/export/9328/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/107/?ln=en,{'search_pattern': 'ali marjovi'},https://infoscience.epfl.ch/search?p=ali+marjovi&so=d&rg=100
9328,http://infoscience-legacy.epfl.ch/curator/export/9328/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/107/?ln=en,{'search_pattern': 'ali marjovi'},https://infoscience.epfl.ch/search?p=ali+marjovi&so=d&rg=100
8966,http://infoscience-legacy.epfl.ch/curator/export/8966/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/108/?ln=fr,{'search_pattern': 'unit:LEI collection:CONF year:2014'},https://infoscience.epfl.ch/search?p=unit%3ALEI+collection%3ACONF+year%3A2014&so=a&rg=100
