legacy id,legacy url,new generated url,url for counting,number of new elements since migration,used in
12948,https://infoscience.epfl.ch/curator/export/12948/?ln=en,https://infoscience.epfl.ch/search?p=Efficient+sample+delay+calculation&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Efficient+sample+delay+calculation,0,PEOPLE
12953,https://infoscience.epfl.ch/curator/export/12953/?ln=en,https://infoscience.epfl.ch/search?p=EPFL-CONF-233735&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=EPFL-CONF-233735,100,PEOPLE
12950,https://infoscience.epfl.ch/curator/export/12950/?ln=en,https://infoscience.epfl.ch/search?p=single+fpga+complete+3d&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=single+fpga+complete+3d,0,PEOPLE
12954,https://infoscience.epfl.ch/curator/export/12954/?ln=en,https://infoscience.epfl.ch/search?p=1024-Channel+3D+Ultrasound+Digital+Beamformer&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=1024-Channel+3D+Ultrasound+Digital+Beamformer,0,PEOPLE
12952,https://infoscience.epfl.ch/curator/export/12952/?ln=en,https://infoscience.epfl.ch/search?p=apodization+scheme&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=apodization+scheme,0,PEOPLE
12955,https://infoscience.epfl.ch/curator/export/12955/?ln=en,https://infoscience.epfl.ch/search?p=tackling+the+bottleneck&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=tackling+the+bottleneck,0,PEOPLE
12956,https://infoscience.epfl.ch/curator/export/12956/?ln=en,https://infoscience.epfl.ch/search?p=Assessment+of+image+quality+vs.&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Assessment+of+image+quality+vs.,0,PEOPLE
12957,https://infoscience.epfl.ch/curator/export/12957/?ln=en,https://infoscience.epfl.ch/search?p=live+demonstration+AND+ibrahim&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=live+demonstration+AND+ibrahim,0,PEOPLE
12958,https://infoscience.epfl.ch/curator/export/12958/?ln=en,https://infoscience.epfl.ch/search?p=Demo+Efficient+Delay+AND+Apodization&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Demo+Efficient+Delay+AND+Apodization,0,PEOPLE
12959,https://infoscience.epfl.ch/curator/export/12959/?ln=en,https://infoscience.epfl.ch/search?p=FPL+AND+Ibrahim&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=FPL+AND+Ibrahim,0,PEOPLE
12960,https://infoscience.epfl.ch/curator/export/12960/?ln=en,https://infoscience.epfl.ch/search?p=1024-Channel+Single+5W+FPGA+Towards+High-quality+Portable+3D+Ultrasound+Platform&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=1024-Channel+Single+5W+FPGA+Towards+High-quality+Portable+3D+Ultrasound+Platform,0,PEOPLE
1671,http://infoscience.epfl.ch/curator/export/1671/,https://infoscience.epfl.ch/search?bskid=1642&of=xm,,n/a,PEOPLE
4575,http://infoscience.epfl.ch/curator/export/4575/,https://infoscience.epfl.ch/search?p=&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?p=&c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=,100,PEOPLE
1868,http://infoscience.epfl.ch/curator/export/1868/,https://infoscience.epfl.ch/search?bskid=1640&of=xm,,n/a,PEOPLE
1868,http://infoscience.epfl.ch/curator/export/1868/,https://infoscience.epfl.ch/search?bskid=1640&of=xm,,n/a,PEOPLE
4700,http://infoscience.epfl.ch/curator/export/4700/,https://infoscience.epfl.ch/search?bskid=1640&of=xm,,n/a,PEOPLE
4700,http://infoscience.epfl.ch/curator/export/4700/,https://infoscience.epfl.ch/search?bskid=1640&of=xm,,n/a,PEOPLE
1757,http://infoscience.epfl.ch/curator/export/1757/,https://infoscience.epfl.ch/search?p=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ,0,PEOPLE
