legacy id,legacy url,legacy raw search values,new generated url,url for counting,number of new elements since migration,used in
4652,http://infoscience.epfl.ch/curator/export/4652/,"{'search_pattern': 'author:terrier collection:article', 'search_collection': 'Infoscience/Research/STI/CBT/LBO'}",https://infoscience.epfl.ch/search?p=author%3Aterrier+collection%3Aarticle&c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aterrier+collection%3Aarticle,0,PEOPLE
1787,http://infoscience.epfl.ch/curator/export/1787/,"{'search_pattern': 'author:terrier collection:article', 'search_collection': 'Infoscience/Research/STI/CBT/LBO'}",https://infoscience.epfl.ch/search?p=author%3Aterrier+collection%3Aarticle&c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aterrier+collection%3Aarticle,0,PEOPLE
1787,http://infoscience.epfl.ch/curator/export/1787/,"{'search_pattern': 'author:terrier collection:article', 'search_collection': 'Infoscience/Research/STI/CBT/LBO'}",https://infoscience.epfl.ch/search?p=author%3Aterrier+collection%3Aarticle&c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aterrier+collection%3Aarticle,0,PEOPLE
9506,http://infoscience.epfl.ch/curator/export/9506/?ln=en,{'search_basket_id': '4216'},https://infoscience.epfl.ch/search?bskid=4216&of=xm,,n/a,PEOPLE
9507,http://infoscience.epfl.ch/curator/export/9507/?ln=en,{'search_basket_id': '4215'},https://infoscience.epfl.ch/search?bskid=4215&of=xm,,n/a,PEOPLE
12387,https://infoscience.epfl.ch/curator/export/12387/?ln=en,{'search_basket_id': '4544'},https://infoscience.epfl.ch/search?bskid=4544&of=xm,,n/a,PEOPLE
5523,http://infoscience.epfl.ch/curator/export/5523/,"{'search_pattern': 'author: soubeyrand,P', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3A+soubeyrand%2CP&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A+soubeyrand%2CP,0,PEOPLE
1785,http://infoscience.epfl.ch/curator/export/1785/,"{'search_pattern': 'author: soubeyrand,P', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3A+soubeyrand%2CP&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A+soubeyrand%2CP,0,PEOPLE
7872,http://infoscience.epfl.ch/curator/export/7872/?ln=fr,{'search_pattern': 'soubeyrand notice'},https://infoscience.epfl.ch/search?p=soubeyrand+notice&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=soubeyrand+notice,0,PEOPLE
1765,http://infoscience.epfl.ch/curator/export/1765/,"{'search_pattern': ""author:'Nazeeruddin, M*'"", 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3A%27Nazeeruddin%2C+M%2A%27&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A%27Nazeeruddin%2C+M%2A%27,0,PEOPLE
